WELL,DEPTH_MD,GROUP,FORMATION,GR,RHOB,NPHI,DTC,CALI,RDEP,WASHOUT_FLAG,FORCE_2020_LITHOFACIES_LITHOLOGY,LITHOLOGY,LITHOLOGY_CODE
15/9-23,1526.488,HORDALAND GP.,Skade Fm.,116.59666443,2.052875042,0.5809418559,147.07972717,13.787041664,0.8417683244,0,65000,Shale,5
15/9-23,1526.64,HORDALAND GP.,Skade Fm.,117.18875122,2.1039972305,0.5883946419,149.68182373,13.627707481,0.8358919024,0,65000,Shale,5
15/9-23,1526.792,HORDALAND GP.,Skade Fm.,119.03518677,2.1352005005,0.4903949499,151.13000488,13.501793861,0.8332997561,0,65000,Shale,5
15/9-23,1526.944,HORDALAND GP.,Skade Fm.,114.92149353,2.1429827213,0.3922169805,148.03544617,13.404415131,0.8292090893,0,65000,Shale,5
15/9-23,1527.096,HORDALAND GP.,Skade Fm.,113.00319672,2.1480731964,0.3909057677,146.12910461,13.390968323,0.8127867579,0,65000,Shale,5
15/9-23,1527.248,HORDALAND GP.,Skade Fm.,122.40926361,2.1732096672,0.3905030191,144.29727173,13.593963623,0.8037676215,0,65000,Shale,5
15/9-23,1527.4,HORDALAND GP.,Skade Fm.,117.91269684,2.1475551128,0.3985208273,143.87680054,13.841768265,0.8008283973,0,65000,Shale,5
15/9-23,1527.552,HORDALAND GP.,Skade Fm.,123.24890137,2.1239039898,0.4294986427,143.3394928,13.956837654,0.8038602471,0,65000,Shale,5
15/9-23,1527.704,HORDALAND GP.,Skade Fm.,122.84889984,2.1300020218,0.4615156353,142.26989746,13.923336029,0.8053773642,0,65000,Shale,5
15/9-23,1527.856,HORDALAND GP.,Skade Fm.,130.34532166,2.105946064,0.4350968301,142.23620605,13.91690731,0.8301430941,0,65000,Shale,5
15/9-23,1528.008,HORDALAND GP.,Skade Fm.,129.12342834,2.1054999828,0.389048785,142.47692871,13.916798592,0.8428449631,0,65000,Shale,5
15/9-23,1528.16,HORDALAND GP.,Skade Fm.,120.03450775,2.0989570618,0.413099885,144.48027039,13.478032112,0.8220063448,0,65000,Shale,5
15/9-23,1528.312,HORDALAND GP.,Skade Fm.,115.65661621,2.0987999439,0.4232479632,147.93400574,13.467499733,0.8316325545,0,65000,Shale,5
15/9-23,1528.464,HORDALAND GP.,Skade Fm.,116.97181702,2.1521215439,0.423694253,153.82546997,12.881546021,0.8410297632,0,65000,Shale,5
15/9-23,1528.616,HORDALAND GP.,Skade Fm.,120.10423279,2.1697847843,0.4393973053,152.04452515,12.806934357,0.8469200134,0,65000,Shale,5
15/9-23,1528.768,HORDALAND GP.,Skade Fm.,124.74456024,2.1917438507,0.455837965,150.5349884,12.728598595,0.8514466882,0,65000,Shale,5
15/9-23,1528.92,HORDALAND GP.,Skade Fm.,124.3263092,2.1831526756,0.456400007,149.69210815,12.842983246,0.8443725705,0,65000,Shale,5
15/9-23,1529.072,HORDALAND GP.,Skade Fm.,121.58947754,2.1693513393,0.4356504381,149.82847595,12.840772629,0.8401613832,0,65000,Shale,5
15/9-23,1529.224,HORDALAND GP.,Skade Fm.,128.00985718,2.15365839,0.4360458553,150.27731323,12.807627678,0.8376999497,0,65000,Shale,5
15/9-23,1529.376,HORDALAND GP.,Skade Fm.,130.45837402,2.1435348988,0.4390638769,150.2644043,12.714894295,0.8294733167,0,65000,Shale,5
15/9-23,1529.528,HORDALAND GP.,Skade Fm.,133.20121765,2.1431000233,0.4451089799,150.14427185,12.710700035,0.8264314532,0,65000,Shale,5
15/9-23,1529.68,HORDALAND GP.,Skade Fm.,124.23672485,2.1565058231,0.4474917054,149.80461121,12.855882645,0.8199298382,0,65000,Shale,5
15/9-23,1529.832,HORDALAND GP.,Skade Fm.,119.14057159,2.1587162018,0.4373642802,149.05307007,12.83108139,0.8098381162,0,65000,Shale,5
15/9-23,1529.984,HORDALAND GP.,Skade Fm.,118.89694214,2.075221777,0.4088145494,148.4082489,12.559087753,0.8138381839,0,65000,Shale,5
15/9-23,1530.136,HORDALAND GP.,Skade Fm.,117.13806152,2.0203561783,0.4013568461,148.31062317,12.454721451,0.8151366711,0,65000,Shale,5
15/9-23,1530.288,HORDALAND GP.,Skade Fm.,130.31526184,2.1594493389,0.4021281898,145.88903809,12.439522743,0.825071454,0,65000,Shale,5
15/9-23,1530.44,HORDALAND GP.,Skade Fm.,132.45828247,2.1865866184,0.4070731103,145.14085388,12.313136101,0.825699985,0,65000,Shale,5
15/9-23,1530.592,HORDALAND GP.,Skade Fm.,130.47447205,2.1819105148,0.3775790036,145.81776428,12.290957451,0.825699985,0,65000,Shale,5
15/9-23,1530.744,HORDALAND GP.,Skade Fm.,128.60725403,2.179915905,0.3935773671,145.57441711,12.45232296,0.8261659145,0,65000,Shale,5
15/9-23,1530.896,HORDALAND GP.,Skade Fm.,125.59757233,2.18937397,0.3966660798,145.42050171,12.521551132,0.8262000084,0,65000,Shale,5
15/9-23,1531.048,HORDALAND GP.,Skade Fm.,128.0715332,2.1585986614,0.4251513183,142.42964172,12.704532623,0.8326855898,0,65000,Shale,5
15/9-23,1531.2,HORDALAND GP.,Skade Fm.,130.80169678,2.1597044468,0.4254591763,139.28971863,12.872578621,0.8354181051,0,65000,Shale,5
15/9-23,1531.352,HORDALAND GP.,Skade Fm.,128.70463562,2.162763834,0.4268660247,136.54504395,12.949684143,0.8956624866,0,65000,Shale,5
15/9-23,1531.504,HORDALAND GP.,Skade Fm.,126.93566132,2.0690901279,0.4179030657,136.15388489,13.890532494,1.0777771473,0,65000,Shale,5
15/9-23,1531.656,HORDALAND GP.,Skade Fm.,123.11682129,1.9613457918,0.428191185,137.6038208,13.563989639,0.9359232783,0,65000,Shale,5
15/9-23,1531.808,HORDALAND GP.,Skade Fm.,98.617240906,2.1490066051,0.4145817459,143.73503113,13.118675232,0.8557265997,0,65000,Shale,5
15/9-23,1531.96,HORDALAND GP.,Skade Fm.,113.76216125,2.1379821301,0.4177565575,146.71038818,13.217892647,0.8377440572,0,65000,Shale,5
15/9-23,1532.112,HORDALAND GP.,Skade Fm.,124.16200256,2.2104914188,0.4515357018,147.48153687,13.165355682,0.8508607745,0,65000,Shale,5
15/9-23,1532.264,HORDALAND GP.,Skade Fm.,130.99671936,2.2932980061,0.4551717937,147.79168701,13.093014717,0.8664336205,0,65000,Shale,5
15/9-23,1532.416,HORDALAND GP.,Skade Fm.,142.93234253,2.2761766911,0.4128483832,148.00204468,13.006192207,0.8679000139,0,65000,Shale,5
15/9-23,1532.568,HORDALAND GP.,Skade Fm.,143.6577301,2.2154958248,0.4277548194,147.36929321,12.811247826,0.8719530702,0,65000,Shale,5
15/9-23,1532.72,HORDALAND GP.,Skade Fm.,142.38084412,2.1708576679,0.4436349571,148.40936279,12.786660194,0.8723999858,0,65000,Shale,5
15/9-23,1532.872,HORDALAND GP.,Skade Fm.,141.29034424,2.1720511913,0.4289937615,148.46961975,12.679919243,0.8727581501,0,65000,Shale,5
15/9-23,1533.024,HORDALAND GP.,Skade Fm.,144.95959473,2.1765372753,0.4127323627,144.08105469,12.628591537,0.8728892207,0,65000,Shale,5
15/9-23,1533.176,HORDALAND GP.,Skade Fm.,148.91255188,2.1754868031,0.4171414077,141.2177887,12.746727943,0.8732560277,0,65000,Shale,5
15/9-23,1533.328,HORDALAND GP.,Skade Fm.,152.83280945,2.1779611111,0.4339563251,140.19075012,12.878108978,0.8693968058,0,65000,Shale,5
15/9-23,1533.48,HORDALAND GP.,Skade Fm.,144.45358276,2.1856434345,0.4253830612,142.89338684,12.943684578,0.8672189713,0,65000,Shale,5
15/9-23,1533.632,HORDALAND GP.,Skade Fm.,142.68327332,2.2091915607,0.4064384997,142.86500549,12.949240685,0.8874737024,0,65000,Shale,5
15/9-23,1533.784,HORDALAND GP.,Skade Fm.,140.71647644,2.2094733715,0.4128952622,138.93078613,12.739156723,0.9217749834,0,65000,Shale,5
